2025-10-24 13:59:52.752 [Info] [Lifecycle] Mod enabled | action=validate_dependencies
2025-10-24 13:59:52.754 [Info] [Configuration] Logging initialized | debug=ENABLED path=C:\Users\mail\AppData\Local\Colossal Order\Cities_Skylines\CSM.TmpeSync\csm.tmpe-sync.log
2025-10-24 13:59:52.756 [Debug] [Dependency] Dependency status | csmEnabled=True harmonyAvailable=True
2025-10-24 13:59:52.756 [Info] [Network] Registering TM:PE synchronization connection with CSM.
2025-10-24 13:59:52.758 [Warn] [Network] CSM.API register hook missing
2025-10-24 13:59:52.758 [Warn] [Network] TM:PE synchronization connection registration failed | synchronization=inactive
2025-10-24 13:59:52.759 [Info] [Diagnostics] Diagnostics snapshot | context=OnEnabled
2025-10-24 13:59:52.760 [Info] [Diagnostics] Command.CurrentRole | value=None
2025-10-24 13:59:52.760 [Info] [Diagnostics] Command.SendToAll delegate | value=CSM.Commands.CommandInternal.SendToAll
2025-10-24 13:59:52.761 [Info] [Diagnostics] Command.SendToServer delegate | value=CSM.Commands.CommandInternal.SendToServer
2025-10-24 13:59:52.761 [Info] [Diagnostics] Command.SendToClients delegate | value=CSM.Commands.CommandInternal.SendToClients
2025-10-24 13:59:52.761 [Info] [Diagnostics] Command.SendToClient hook | value=<null>
2025-10-24 13:59:52.762 [Info] [Diagnostics] Command.RegisterConnection hook | value=<null>
2025-10-24 13:59:52.762 [Info] [Diagnostics] Command.UnregisterConnection hook | value=<null>
2025-10-24 13:59:52.763 [Info] [Diagnostics] Registered connections | value=<unavailable>
2025-10-24 13:59:52.790 [Info] [Bridge] TM:PE API detected | features=Speed Limits, Lane Arrows, Lane Connector, Vehicle Restrictions, Junction Restrictions, Priority Signs, Parking Restrictions, Toggle Traffic Lights, Clear Traffic
2025-10-24 13:59:52.791 [Info] [Synchronization] TM:PE bridge ready on client | action=notify_server
2025-10-24 13:59:52.792 [Debug] [Network] Dispatch command | direction=server type=TmpeFeatureReady
2025-10-24 13:59:52.814 [Debug] [Network] Dispatch complete | direction=server type=TmpeFeatureReady
2025-10-24 13:59:52.817 [Info] [Bridge] TM:PE feature support | supported=junctionRestrictions, laneArrows, laneConnector, parkingRestrictions, prioritySigns, speedLimits, toggleTrafficLights, vehicleRestrictions unsupported=<none>
2025-10-24 14:00:39.700 [Info] [Diagnostics] TM:PE notifier bridge enabled | segment=True node=True laneArrows=True laneConnAdd=True laneConnRemove=True laneConnClear=True laneConnNode=True clearTraffic=True
2025-10-24 14:00:47.151 [Info] [General] CSM multiplayer role changed: None -> Server (raw='Server')
2025-10-24 14:00:47.151 [Debug] [Diagnostics] Stub simulation hooks unavailable | action=skip_autostart
2025-10-24 14:02:36.353 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.353 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.354 [Debug] [Synchronization] Lane mapping broadcast | segment=10827 laneIndex=0 hostLane=165551 guid=LaneGuid(Segment=10827, Build=4612, Prefab=0, Lane=0, Seq=1) version=1 reason=priority_signs
2025-10-24 14:02:36.354 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.355 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.355 [Debug] [Synchronization] Lane mapping broadcast | segment=10827 laneIndex=1 hostLane=1466 guid=LaneGuid(Segment=10827, Build=4612, Prefab=0, Lane=1, Seq=1) version=2 reason=priority_signs
2025-10-24 14:02:36.356 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.356 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.357 [Debug] [Synchronization] Lane mapping broadcast | segment=10827 laneIndex=2 hostLane=76913 guid=LaneGuid(Segment=10827, Build=4612, Prefab=0, Lane=2, Seq=1) version=3 reason=priority_signs
2025-10-24 14:02:36.358 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.358 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.359 [Debug] [Synchronization] Lane mapping broadcast | segment=10827 laneIndex=3 hostLane=164858 guid=LaneGuid(Segment=10827, Build=4612, Prefab=0, Lane=3, Seq=1) version=4 reason=priority_signs
2025-10-24 14:02:36.359 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.359 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.360 [Debug] [Synchronization] Lane mapping broadcast | segment=10827 laneIndex=4 hostLane=228136 guid=LaneGuid(Segment=10827, Build=4612, Prefab=0, Lane=4, Seq=1) version=5 reason=priority_signs
2025-10-24 14:02:36.360 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.360 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.361 [Debug] [Synchronization] Lane mapping broadcast | segment=10827 laneIndex=5 hostLane=139129 guid=LaneGuid(Segment=10827, Build=4612, Prefab=0, Lane=5, Seq=1) version=6 reason=priority_signs
2025-10-24 14:02:36.362 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.362 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.362 [Debug] [Synchronization] Lane mapping broadcast | segment=13951 laneIndex=0 hostLane=131003 guid=LaneGuid(Segment=13951, Build=4615, Prefab=0, Lane=0, Seq=1) version=7 reason=priority_signs
2025-10-24 14:02:36.363 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.363 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.363 [Debug] [Synchronization] Lane mapping broadcast | segment=13951 laneIndex=1 hostLane=252833 guid=LaneGuid(Segment=13951, Build=4615, Prefab=0, Lane=1, Seq=1) version=8 reason=priority_signs
2025-10-24 14:02:36.364 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.364 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.364 [Debug] [Synchronization] Lane mapping broadcast | segment=13951 laneIndex=2 hostLane=210289 guid=LaneGuid(Segment=13951, Build=4615, Prefab=0, Lane=2, Seq=1) version=9 reason=priority_signs
2025-10-24 14:02:36.365 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.365 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.365 [Debug] [Synchronization] Lane mapping broadcast | segment=13951 laneIndex=3 hostLane=73467 guid=LaneGuid(Segment=13951, Build=4615, Prefab=0, Lane=3, Seq=1) version=10 reason=priority_signs
2025-10-24 14:02:36.366 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.366 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.366 [Debug] [Synchronization] Lane mapping broadcast | segment=13951 laneIndex=4 hostLane=163884 guid=LaneGuid(Segment=13951, Build=4615, Prefab=0, Lane=4, Seq=1) version=11 reason=priority_signs
2025-10-24 14:02:36.367 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.367 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.367 [Debug] [Synchronization] Lane mapping broadcast | segment=13951 laneIndex=5 hostLane=219212 guid=LaneGuid(Segment=13951, Build=4615, Prefab=0, Lane=5, Seq=1) version=12 reason=priority_signs
2025-10-24 14:02:36.368 [Debug] [Hook] TM:PE priority sign query | nodeId=1734 segmentId=10827 signType=None
2025-10-24 14:02:36.369 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-24 14:02:36.369 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-24 14:02:36.370 [Debug] [Hook] TM:PE priority sign query | nodeId=1734 segmentId=13951 signType=None
2025-10-24 14:02:36.371 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-24 14:02:36.371 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-24 14:02:36.372 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.373 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.373 [Debug] [Synchronization] Lane mapping broadcast | segment=27634 laneIndex=0 hostLane=58738 guid=LaneGuid(Segment=27634, Build=1749, Prefab=21, Lane=0, Seq=1) version=13 reason=junction_restrictions
2025-10-24 14:02:36.373 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-24 14:02:36.374 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
